ltv,disbursed_amount,asset_cost,PERFORM_CNS.SCORE,loan_default
65.39,726230,1131750,0,0
72.33,426690,635980,300,0
69.82,959900,1403540,738,0
88.06,576640,670000,0,0
77.45,433940,581040,0,0
80.06,553000,712000,0,0
56.04,367690,695880,618,0
89.83,575130,662370,737,0
80,508030,650030,0,0
89.68,525640,629990,0,0
79.95,522030,669200,300,0
89.36,577090,664700,511,0
57.9,456490,803090,0,0
74.39,493490,672090,0,0
77.75,446450,586500,0,0
74.07,349390,486040,0,0
78.92,463490,608200,0,0
65.08,382390,603830,749,0
79.95,525320,662300,580,0
78.67,507030,661000,717,0
89.43,535780,615020,783,0
85.46,577590,684540,0,0
69.96,597130,871890,0,0
74.76,604130,832000,317,0
80.85,498030,637020,16,0
76.79,543000,716240,768,0
84.25,549590,664660,0,0
88.93,505030,586990,564,0
86.47,578130,680000,830,0
76.45,483490,654000,476,0
64.21,587790,934480,651,0
88.42,403000,475000,0,0
79.07,500030,645000,0,0
77.95,488780,645290,758,0
87.8,597300,694760,0,0
59.3,416750,719680,300,0
72.08,617130,880910,0,0
65.28,372390,612750,0,0
68.87,413940,624330,825,0
60.88,378640,673510,0,0
74.88,438490,607670,15,0
49.16,278290,596010,0,0
70.34,427940,625540,708,0
80.45,480380,646340,678,0
83.43,503030,623300,0,0
67.9,418940,633310,0,0
66.67,602130,930000,808,0
71.14,390190,562260,830,0
76.23,478410,662480,0,0
77.9,533030,706060,0,0
63.49,394390,630000,769,0
67.95,398940,603370,721,0
87.02,513780,632040,0,0
84.72,624510,752380,664,0
89.59,530780,613880,0,0
83.97,532000,654960,783,0
76.29,637130,852000,0,0
63.99,421940,687580,778,0
80.51,561590,745210,0,0
68.53,597130,890110,825,0
73.97,617130,851740,737,0
75.79,505690,689660,0,0
89.85,583130,660000,749,0
53.87,304840,594070,824,0
88.04,541190,647430,0,0
85.67,451450,548610,810,0
85.45,528030,626090,585,0
56.77,448990,810250,0,0
80.78,497820,631370,546,0
88.42,494780,576800,0,0
74.62,393940,549450,738,0
80.83,483490,618590,0,0
89.29,604470,694330,0,0
47.44,393700,885340,0,0
62.49,396840,656120,0,0
79.88,516280,663470,653,0
70.93,628470,915000,0,0
89.13,571670,656330,0,0
76.91,483490,637100,0,0
86.36,702170,833690,657,0
80.96,562590,704020,15,0
76.39,469490,631000,708,0
88.87,488040,568230,774,0
78.86,490380,659400,0,0
60.8,364390,616810,0,0
54.08,471450,924630,529,0
74.07,513030,715540,605,0
89.61,668820,770000,17,0
80.46,463490,584120,772,0
78.31,448490,593820,0,0
80.36,423940,547540,726,0
67.5,424940,666650,705,0
86.41,562230,671230,749,0
89.2,524780,605390,709,0
60.58,285290,486930,0,0
84.13,523030,641830,0,0
44.4,413940,946000,756,0
64.07,609470,983330,714,0
70.52,509380,746350,0,0
80.56,508030,645500,615,0
84.55,518030,626860,0,0
84.35,534730,687590,327,0
60.91,352650,614440,792,0
69.62,270790,410090,0,0
60.33,386940,668000,0,0
74.98,439490,608200,339,0
73.91,445690,625370,0,0
82.8,503030,628000,818,0
69.83,453490,673110,0,0
75.3,483490,664030,0,0
62.66,420040,680000,832,0
74.69,433940,602500,300,0
69.31,483490,721410,708,0
53.64,507330,997360,569,0
88.13,572590,658110,0,0
76.18,448990,623550,0,0
84.97,465490,559000,792,0
76.15,483490,656610,0,0
64.59,372490,603820,783,0
68.25,483490,718000,0,0
87.01,570590,666610,616,0
88.92,567590,652260,407,0
68.32,433940,658710,563,0
74.47,685820,940000,0,0
82.99,483490,602480,763,0
73.07,458490,643190,0,0
53,304390,603800,609,0
72.13,432940,610000,660,0
65.75,622130,973420,0,0
79.4,408940,529000,0,0
59.49,371620,653620,830,0
73.08,513030,725220,326,0
60.76,393940,674840,830,0
79.64,560790,740870,0,0
78.45,422100,560860,0,0
83.7,540000,665470,300,0
79.21,548530,732210,763,0
80.5,503030,646000,0,0
81.92,349390,433350,691,0
84.18,546590,665260,0,0
65.29,423940,673960,0,0
84.23,517780,629220,17,0
78.57,533030,700010,694,0
83.17,493030,613230,825,0
74.17,741220,1011210,0,0
89.28,544130,627210,0,0
61.9,609470,1017840,0,0
89.39,580130,660000,755,0
89.69,587130,669000,625,0
64.79,565090,890600,0,0
69.85,573190,844680,0,0
77.07,535530,713660,665,0
77.47,427940,567980,599,0
77.81,429310,587350,0,0
85.22,525030,633640,0,0
88.3,535030,622910,300,0
79.33,509530,651100,624,0
88.07,550130,647180,628,0
65.34,398940,642800,687,0
47.9,244600,542850,725,0
83.62,485040,600350,0,0
81.62,507030,637100,0,0
45.41,276390,638610,0,0
78.97,463490,607810,0,0
74.31,422940,590750,708,0
77.47,481450,645430,0,0
83.15,545130,679480,0,0
73.32,652020,927500,0,0
57.36,334840,592720,706,0
73.33,446490,635500,409,0
75.08,677820,919000,0,0
74.49,716230,980000,819,0
78.88,828800,1102900,0,0
80.18,514730,661000,0,0
77.1,491030,658890,565,0
72.45,472530,665950,763,0
53.9,365710,705070,0,0
75.36,420940,570590,0,0
66.01,434290,696830,738,0
74.67,490380,696410,792,0
89.83,771050,880000,0,0
67.54,443440,703290,0,0
58.87,369390,653950,758,0
75.36,420940,570590,513,0
88.89,624470,720000,623,0
73.97,505780,703000,0,0
78.21,489030,652080,0,0
89.84,598630,682300,16,0
67.31,731230,1114280,300,0
72,466400,684380,641,0
54.48,349390,670000,0,0
46.16,437440,974820,17,0
74.92,429720,600660,464,0
70.07,418940,613640,300,0
64.79,513030,818000,824,0
62.64,550130,910000,738,0
84.8,573690,695780,832,0
79.92,570130,738220,0,0
54.16,349590,664740,0,0
78.38,432250,586920,659,0
74.31,422940,590750,763,0
74.83,652820,895360,568,0
71,433940,633760,0,0
74.19,607130,835690,511,0
73.79,594470,826700,15,0
61.65,423940,697500,738,0
87.81,578490,678650,0,0
82.83,510130,639890,710,0
78.09,549090,712600,0,0
88.35,538830,639480,0,0
80.89,678820,852980,0,0
83.34,480120,609570,738,0
56.34,466490,839510,738,0
77.04,555630,739920,18,0
59.75,379390,661040,825,0
85.79,587590,699360,783,0
76.52,461650,640380,0,0
77.45,505030,671360,0,0
69.79,1271030,1891300,708,0
55.3,372390,701630,738,0
52.73,408100,804160,0,0
84.18,465490,572550,0,0
69.38,413300,634230,836,0
79.54,547590,704020,0,0
78.62,503030,648730,0,0
73.96,691690,946400,0,0
87.51,569590,668500,407,0
56.29,354390,639500,718,0
72.57,651690,923310,756,0
89.51,583470,674750,402,0
61.47,403940,683270,774,0
77.85,534030,706480,772,0
78.35,503670,659310,554,0
83.08,492630,625940,300,0
69.91,726230,1058500,0,0
64.12,362010,603590,774,0
71.91,557030,818670,708,0
52.03,333410,672700,465,0
78.98,553130,725490,0,0
88.76,519030,592620,0,0
89.79,542590,623690,0,0
90,614470,7.00E+05,825,0
88.02,567590,658960,0,0
63.58,385740,644860,0,0
79.28,493030,643250,726,0
62.48,530410,894680,17,0
86.6,453490,542700,15,0
79.2,478490,618650,0,0
89.5,663820,754150,0,0
85.03,691230,835010,0,0
60.63,349390,601990,723,0
75.85,481490,650000,726,0
89.86,609130,690000,0,0
89.83,619470,701300,711,0
65.02,478490,753580,726,0
81.43,555130,706100,0,0
76.24,465490,655840,0,0
63.49,569090,945100,0,0
88.16,562590,646550,0,0
68.34,420940,629220,0,0
67.9,1178170,1811390,0,0
89.51,580090,664700,0,0
78.97,285840,381160,792,0
66.89,390220,601000,0,0
80.31,494780,635000,737,0
85.13,575130,693060,738,0
73.98,688670,980000,0,0
78.05,443490,589380,0,0
64.01,458950,739000,0,0
53.92,430290,849370,825,0
77.28,423940,569350,300,0
70.92,396190,599230,0,0
73.49,265290,380980,0,0
76.73,448490,606060,0,0
63.45,953910,1574550,0,0
59.77,366410,619050,0,0
84.95,591130,712200,0,0
87.44,538030,629000,682,0
69.69,900330,1348890,0,0
89.16,645820,740230,0,0
78.81,451450,596380,715,0
89.84,545590,621120,0,0
73.42,673240,939860,0,0
83.33,513530,660020,0,0
80.24,468490,598210,763,0
80.38,513030,659390,797,0
59.64,530780,922200,736,0
87.42,535130,634830,0,0
89.64,626130,712820,0,0
79.8,450000,589000,836,0
84.54,462990,591460,300,0
69.88,1109870,1660020,763,0
88.61,538730,643300,763,0
65.19,387650,613620,0,0
73.95,524030,724830,708,0
81.74,414000,550500,774,0
75,472150,654290,0,0
78.12,533000,691230,749,0
66.46,879890,1354260,0,0
89.62,654640,750000,708,0
75.38,477490,650030,0,0
64.89,415940,655000,582,0
71.73,610130,864310,0,0
84.49,520780,639120,0,0
62.71,404940,661820,16,0
87.98,556130,650120,709,0
78.99,598130,771000,738,0
72.09,473490,679670,0,0
88.52,562590,655200,686,0
79.14,533030,682320,845,0
87.59,582090,684990,687,0
81.5,513030,638000,749,0
86.13,575130,685000,0,0
78.62,513030,674100,814,0
75.18,461490,638500,825,0
46.96,661690,1448000,0,0
58.14,488450,860000,836,0
66.72,977990,1497400,0,0
84.91,656820,816190,825,0
89.07,588080,679240,870,0
73.66,466490,648930,701,0
20.2,188200,989970,0,0
69.99,616470,928740,0,0
87.58,543030,628000,0,0
88.95,638820,742000,300,0
67.98,398940,603160,763,0
79.98,556740,750200,717,0
79.33,511830,680660,300,0
63.7,473540,773940,710,0
44.28,253890,632380,681,0
48,572590,1229130,681,0
77.26,551590,736520,0,0
71.44,393940,573900,0,0
73.94,636690,883190,16,0
89.71,599470,680000,0,0
63.92,433940,704030,738,0
70.32,459490,676940,0,0
88.76,541130,630890,0,0
69.66,774410,1143980,738,0
79.89,307840,404310,737,0
70.65,633130,920000,0,0
81.63,463690,600250,0,0
58.73,374390,664000,472,0
57.11,772550,1392530,0,0
50.67,438940,888140,728,0
74.07,298640,418520,0,0
78.83,562590,735780,0,0
88.38,543130,637020,738,0
78.2,401940,534530,0,0
65.73,413940,654210,823,0
80.77,503030,643810,0,0
73.74,423940,596680,732,0
89.39,530280,609700,709,0
78.64,493030,648520,0,0
74.88,836200,1148540,818,0
63.3,387700,652500,14,0
86.21,488490,580000,0,0
83.43,530000,659210,599,0
86.01,548530,674310,0,0
79.8,450000,589000,15,0
83.09,575130,710050,0,0
63.47,397940,645970,771,0
54.28,557590,1050190,0,0
68.42,423940,643060,0,0
52.25,354390,708160,450,0
56.17,469450,868800,300,0
83.51,913550,1137620,0,0
79.15,512530,669000,300,0
29.47,176190,644620,708,0
82.17,555590,693650,805,0
64.13,405340,670530,0,0
79.28,540190,719010,825,0
79.27,503030,656020,728,0
88.18,540130,629380,499,0
58.86,403940,713560,0,0
75.41,448490,610000,0,0
78.57,478490,623680,0,0
81.52,538030,674650,729,0
67.76,481450,737900,0,0
89.32,577130,662750,0,0
89.37,543130,621010,300,0
94.65,643820,692000,0,0
87.04,486780,580170,563,0
87.67,673820,787060,819,0
70.1,434290,656160,0,0
73.06,708170,999190,615,0
83.46,487830,611060,0,0
78.71,596470,775000,690,0
79.75,533030,689680,836,0
64.44,429390,706080,708,0
74.71,455490,626440,0,0
46.55,483490,1074000,300,0
78.87,490490,633970,774,0
89.07,580590,668000,0,0
86.36,540590,642680,300,0
85.27,513780,613350,680,0
70.85,623590,924520,0,0
61.64,390390,648930,0,0
79.99,469080,601330,0,0
84.12,711230,867770,650,0
74.21,806860,1118380,0,0
74.66,437940,602760,0,0
74.24,478490,660000,0,0
63.11,357840,610000,591,0
81.94,580470,733420,721,0
74.05,394940,555000,709,0
86.45,562590,670910,0,0
79.96,569590,729150,781,0
61.02,538290,910700,797,0
61.32,366390,652350,707,0
86.9,518030,609930,0,0
87.79,507430,592340,0,0
61.48,270290,455450,0,0
89.39,577590,660000,0,0
57.67,352270,637930,738,0
73.06,451500,650120,687,0
67.35,698170,1069040,0,0
71.6,453810,673200,741,0
87.9,552760,643880,0,0
71.29,435940,620000,714,0
84.46,542590,663000,300,0
85.23,510780,621880,15,0
79.43,681690,881310,0,0
83.96,500780,607410,611,0
62.6,382750,638940,738,0
76.98,451930,620940,0,0
78.06,474490,623910,673,0
86.68,550130,657610,17,0
88.22,547590,634790,0,0
65.08,582590,906550,0,0
88.15,542590,635270,0,0
71.75,459950,669000,14,0
73.65,534530,760360,0,0
83.58,527030,646100,845,0
73.18,470450,669600,300,0
70.14,384390,570300,0,0
89.25,463490,532220,0,0
79.33,509530,651100,738,0
77.66,493030,656670,0,0
79.08,493030,644930,0,0
89.39,580130,660000,738,0
83.67,458450,597580,0,0
74.27,468490,646280,0,0
73.53,493030,693550,0,0
71,514060,747930,0,0
62.01,465170,765500,0,0
86.39,609470,723500,15,0
84.64,594630,738410,0,0
80.43,453490,584350,825,0
72.2,483490,692490,832,0
74.62,468490,650000,0,0
82.38,470490,591140,0,0
75.88,512030,698510,0,0
76.88,475490,634770,0,0
81.34,461450,590090,0,0
80.05,530690,701800,832,0
69.31,348090,548250,439,0
88.91,490690,592750,648,0
82.69,573690,713500,0,0
43.48,285290,689900,680,0
73.77,412100,582860,300,0
78.8,670170,892160,423,0
89.85,588120,670000,607,0
74.95,656680,893920,657,0
78.67,490780,648250,0,0
86.24,495780,591380,636,0
71.95,423000,611530,825,0
88.74,656690,755000,666,0
84.32,666190,806410,0,0
83.76,451450,561160,597,0
65.78,623470,972980,682,0
89.47,543030,614750,0,0
62,387700,651210,825,0
74.75,432100,602000,708,0
43.75,272290,640000,0,0
76.57,703960,938790,0,0
87.23,562130,664910,749,0
79.49,607130,780000,0,0
78.22,501890,682300,0,0
75.73,694230,941550,0,0
79.39,463490,604600,0,0
86.41,563130,676980,15,0
74.89,736670,999960,0,0
88.99,579590,663000,0,0
56.58,212010,388810,0,0
84.91,528030,635970,763,0
60.51,392940,669360,300,0
78.09,489490,640300,0,0
79.92,408940,531800,0,0
88.06,523330,635930,477,0
83.89,458390,572160,825,0
72.42,473490,690380,0,0
87.28,618630,720700,300,0
89.91,582010,665000,377,0
72.18,805330,1133230,763,0
65.09,372390,588400,0,0
61.85,403940,679110,0,0
49.86,338840,702000,0,0
51.36,293090,613320,0,0
78.58,513030,674510,0,0
33.85,191190,590840,663,0
78.94,535130,703070,738,0
69.11,599530,911630,654,0
77.35,463490,620520,615,0
79.67,448450,586140,726,0
60.37,403940,695690,0,0
88.66,480580,575250,741,0
72.14,727730,1036890,0,0
79.48,503030,654280,651,0
85.11,499030,606260,0,0
59.19,398940,701170,0,0
65.46,528930,855540,551,0
74.11,473490,661140,18,0
44.32,259690,631810,0,0
72.63,364890,550750,0,0
50.51,319840,653300,0,0
79.39,493030,642380,825,0
78.64,500780,661230,15,0
87.35,566630,660000,0,0
84.31,508030,616800,0,0
84.5,483490,591700,0,0
77.15,516530,712890,0,0
51.51,311440,660010,15,0
71.17,632140,906270,15,0
73.27,423940,600500,0,0
70,671070,1010060,0,0
55.32,544330,1012380,0,0
87.97,517030,602500,0,0
80,580130,750000,0,0
50.56,503030,1008720,737,0
79.15,432250,581160,392,0
76.51,525780,712330,824,0
62.58,388640,655160,832,0
85.6,562130,677550,710,0
81.79,725230,910920,0,0
63.31,403940,663450,724,0
75.9,456090,632380,748,0
83.95,928430,1131560,0,0
65.16,359390,575470,0,0
71.43,433940,630000,738,0
75.49,507030,688860,300,0
82.33,493480,622700,826,0
85.48,532790,655160,0,0
79.09,427430,572750,811,0
73.45,417300,592550,825,0
74.7,651090,910350,487,0
57.09,391820,723440,0,0
84.42,473490,574500,0,0
78.27,453490,600490,0,0
68.27,460740,695780,738,0
74.92,504780,694090,830,0
77.85,534030,706480,675,0
52.36,334840,668500,789,0
78.7,525530,679810,719,0
83.64,530780,657610,708,0
50.62,260610,553160,0,0
71.81,413940,598800,680,0
65.27,504130,798350,507,0
59.54,364390,638200,0,0
63.48,408940,669530,0,0
75.29,448490,648120,661,0
55.16,531390,1015180,553,0
88.89,547590,629970,0,0
74.6,431540,630000,681,0
64,582860,933960,300,0
50.91,503030,1021450,349,0
69.68,648820,961530,789,0
85.98,533030,639710,732,0
84.95,552590,671000,0,0
81.62,511950,641900,0,0
78.45,422100,560860,809,0
89.4,594130,682300,810,0
86.98,531030,620810,0,0
88.72,571590,656000,836,0
63.63,398940,636500,630,0
59.34,434290,775230,0,0
52.04,343390,676400,0,0
83.62,560790,705570,0,0
65.63,306840,480000,300,0
89.49,532030,609000,0,0
79.86,478490,613540,0,0
80.72,509780,650390,18,0
83.28,523030,648410,749,0
78.72,423940,558930,0,0
